team_id,team_name,conference,g,ab,r,h,2b,3b,hr,bb,so,sb,ip,ha,wh,er,k,opp_ba,fe,run_date,season,era,avg,obp,slg,ops,iso,bb_k_ratio,runs_per_game,whip,k_bb_ratio,opponent_ba,errors_per_game,fielding_pct,offense_z,pitching_z,discipline_z,defense_z,era_norm,composite_score,composite_rank
texas,Texas,Unknown,49.0,78.0,12.0,18.0,0.0,0.0,2.0,9.0,12.0,0.0,21.0,16.0,0.0,2.0,12.0,0.2051,0.0,2026-04-10,2026,0.8571,0.2308,0.3103,0.3077,0.618,0.0769,0.75,0.2449,0.0,1.3333,0.2051,0.0,1.0,-0.2421,0.1919,0.4157,0.0,0.1919,0.0544,12
ucla,UCLA,Unknown,52.0,38.0,15.0,15.0,0.0,0.0,3.0,3.0,7.0,0.0,7.0,21.0,0.0,12.0,5.0,0.5526,0.0,2026-04-10,2026,15.4286,0.3947,0.439,0.6316,1.0706,0.2368,0.4286,0.2885,0.0,1.6667,0.5526,0.0,1.0,0.8719,-0.5433,-0.2809,0.0,-0.5433,0.0457,13
oregon,Oregon,Unknown,51.0,75.0,9.0,17.0,0.0,0.0,0.0,8.0,8.0,0.0,19.1,13.0,0.0,9.0,17.0,0.1733,0.0,2026-04-10,2026,4.2408,0.2267,0.3012,0.2267,0.5279,0.0,1.0,0.1765,0.0,2.125,0.1733,0.0,1.0,-0.6734,0.1646,0.9576,0.0,0.1646,-0.0262,14
florida,Florida,Unknown,8.0,26.0,3.0,5.0,0.0,0.0,1.0,7.0,6.0,0.0,6.0,10.0,0.0,8.0,0.0,0.3846,0.0,2026-04-10,2026,12.0,0.1923,0.3636,0.3077,0.6713,0.1154,1.1667,0.375,0.0,0.0,0.3846,0.0,1.0,0.0129,-0.6893,1.319,0.0,-0.6893,-0.0734,15
duke,Duke,Unknown,51.0,29.0,6.0,11.0,0.0,0.0,0.0,2.0,4.0,0.0,7.0,6.0,0.0,2.0,3.0,0.2069,0.0,2026-04-10,2026,2.5714,0.3793,0.4194,0.3793,0.7987,0.0,0.5,0.1176,0.0,1.5,0.2069,0.0,1.0,-0.438,0.131,-0.1262,0.0,0.131,-0.1198,16
texas-tech,Texas Tech,Unknown,54.0,177.0,35.0,45.0,0.0,0.0,7.0,21.0,38.0,0.0,42.2,79.0,0.0,62.0,34.0,0.4463,0.0,2026-04-10,2026,13.2227,0.2542,0.3333,0.3729,0.7062,0.1186,0.5526,0.6481,0.0,1.619,0.4463,0.0,1.0,0.1484,-0.4314,-0.0121,0.0,-0.4314,-0.1224,17
lsu,LSU,Unknown,53.0,177.0,23.0,36.0,0.0,0.0,6.0,13.0,40.0,0.0,43.4,56.0,0.0,29.0,22.0,0.3164,0.0,2026-04-10,2026,6.0138,0.2034,0.2579,0.3051,0.563,0.1017,0.325,0.434,0.0,1.6923,0.3164,0.0,1.0,-0.1274,-0.0199,-0.5055,0.0,-0.0199,-0.1284,18
washington,Washington,Unknown,52.0,23.0,1.0,4.0,0.0,0.0,0.0,3.0,9.0,0.0,6.0,7.0,0.0,6.0,3.0,0.3043,0.0,2026-04-10,2026,9.0,0.1739,0.2692,0.1739,0.4431,0.0,0.3333,0.0192,0.0,1.0,0.3043,0.0,1.0,-0.8045,-0.3233,-0.4875,0.0,-0.3233,-0.484,19
oklahoma,Oklahoma,Unknown,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.2274,-0.0287,-1.21,0.0,-0.0287,-0.6226,20
arizona,Arizona,Unknown,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.2274,-0.0287,-1.21,0.0,-0.0287,-0.6226,21
virginia,Virginia,Unknown,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.2274,-0.0287,-1.21,0.0,-0.0287,-0.6226,22
ucf,UCF,Unknown,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.2274,-0.0287,-1.21,0.0,-0.0287,-0.6226,23
grand-canyon,Grand Canyon,Unknown,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.2274,-0.0287,-1.21,0.0,-0.0287,-0.6226,24
tennessee,Tennessee,Unknown,3.0,16.0,0.0,1.0,0.0,0.0,0.0,5.0,13.0,0.0,4.0,12.0,0.0,12.0,1.0,0.75,0.0,2026-04-10,2026,27.0,0.0625,0.2857,0.0625,0.3482,0.0,0.3846,0.0,0.0,0.2,0.75,0.0,1.0,-0.9,-1.4748,-0.3763,0.0,-1.4748,-0.9614,25
