team_id,team_name,conference,g,ab,r,h,2b,3b,hr,bb,so,sb,ip,ha,wh,er,k,opp_ba,fe,run_date,season,era,avg,obp,slg,ops,iso,bb_k_ratio,runs_per_game,whip,k_bb_ratio,opponent_ba,errors_per_game,fielding_pct,offense_z,pitching_z,discipline_z,defense_z,era_norm,composite_score,composite_rank
texas-a-m,Texas A&M,Unknown,52.0,481.0,156.0,186.0,0.0,0.0,29.0,27.0,59.0,0.0,126.0,89.0,0.0,42.0,118.0,0.185,0.0,2026-04-10,2026,3.0,0.3867,0.4193,0.5676,0.9869,0.1809,0.4576,3.0,0.0,4.3704,0.185,0.0,1.0,1.4435,0.6839,-0.2181,0.0,0.6839,0.7461,1
florida-state,Florida State,Unknown,54.0,180.0,64.0,66.0,0.0,0.0,13.0,27.0,17.0,0.0,45.0,33.0,0.0,22.0,34.0,0.1833,0.0,2026-04-10,2026,4.4,0.3667,0.4493,0.5833,1.0326,0.2167,1.5882,1.1852,0.0,1.2593,0.1833,0.0,1.0,1.0444,-0.018,2.2326,0.0,-0.018,0.6932,2
alabama,Alabama,Unknown,53.0,325.0,87.0,106.0,0.0,0.0,17.0,23.0,45.0,0.0,90.0,53.0,0.0,18.0,118.0,0.1631,0.0,2026-04-10,2026,1.8,0.3262,0.3707,0.4831,0.8538,0.1569,0.5111,1.6415,0.0,5.1304,0.1631,0.0,1.0,0.7733,0.9026,-0.1021,0.0,0.9026,0.6164,3
virginia-tech,Virginia Tech,Unknown,53.0,267.0,76.0,107.0,0.0,0.0,18.0,36.0,33.0,0.0,58.0,49.0,0.0,27.0,62.0,0.1835,0.0,2026-04-10,2026,4.1897,0.4007,0.4719,0.603,1.0749,0.2022,1.0909,1.434,0.0,1.7222,0.1835,0.0,1.0,1.1044,0.0865,1.1547,0.0,0.0865,0.5943,4
south-carolina,South Carolina,Unknown,54.0,807.0,191.0,248.0,0.0,0.0,30.0,97.0,116.0,0.0,205.0,198.0,0.0,91.0,163.0,0.2454,0.0,2026-04-10,2026,3.9951,0.3073,0.3816,0.4188,0.8005,0.1115,0.8362,3.537,0.0,1.6804,0.2454,0.0,1.0,1.151,0.0888,0.6026,0.0,0.0888,0.5288,5
arkansas,Arkansas,Unknown,50.0,409.0,103.0,128.0,0.0,0.0,24.0,55.0,73.0,0.0,101.0,82.0,0.0,36.0,88.0,0.2005,0.0,2026-04-10,2026,3.2079,0.313,0.3944,0.489,0.8834,0.176,0.7534,2.06,0.0,1.6,0.2005,0.0,1.0,1.0184,0.116,0.4231,0.0,0.116,0.4663,6
georgia,Georgia,Unknown,53.0,542.0,145.0,180.0,0.0,0.0,27.0,70.0,96.0,0.0,129.3,151.0,0.0,80.0,96.0,0.2786,0.0,2026-04-10,2026,5.5684,0.3321,0.4085,0.4815,0.89,0.1494,0.7292,2.7358,0.0,1.3714,0.2786,0.0,1.0,1.1332,-0.0598,0.3707,0.0,-0.0598,0.4283,7
mississippi-state,Mississippi State,Unknown,54.0,178.0,29.0,44.0,0.0,0.0,7.0,11.0,22.0,0.0,46.1,35.0,0.0,18.0,59.0,0.1966,0.0,2026-04-10,2026,3.5141,0.2472,0.291,0.3652,0.6562,0.118,0.5,0.537,0.0,5.3636,0.1966,0.0,1.0,0.0626,0.855,-0.1262,0.0,0.855,0.345,8
stanford,Stanford,Unknown,49.0,114.0,25.0,31.0,0.0,0.0,5.0,25.0,15.0,0.0,26.0,33.0,0.0,29.0,17.0,0.2895,0.0,2026-04-10,2026,10.0385,0.2719,0.4029,0.4035,0.8064,0.1316,1.6667,0.5102,0.0,0.68,0.2895,0.0,1.0,0.2524,-0.4448,2.4028,0.0,-0.4448,0.2708,9
nebraska,Nebraska,Unknown,49.0,29.0,5.0,11.0,0.0,0.0,1.0,1.0,6.0,0.0,6.0,9.0,0.0,4.0,5.0,0.3103,0.0,2026-04-10,2026,6.0,0.3793,0.4,0.4828,0.8828,0.1034,0.1667,0.102,0.0,5.0,0.3103,0.0,1.0,0.0719,0.6452,-0.8486,0.0,0.6452,0.156,10
oklahoma-state,Oklahoma State,Unknown,52.0,56.0,15.0,15.0,0.0,0.0,3.0,3.0,14.0,0.0,14.0,22.0,0.0,12.0,11.0,0.3929,0.0,2026-04-10,2026,7.7143,0.2679,0.3051,0.4286,0.7337,0.1607,0.2143,0.2885,0.0,3.6667,0.3929,0.0,1.0,0.2343,0.283,-0.7454,0.0,0.283,0.0834,11
