player_id,player_name,team_id,team_name,class_year,position,g,ab,r,h,2b,3b,hr,bb,so,sb,ip,er,k,ha,run_date,season,avg,ops,iso
espn-11973,D. Alcocer,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-11974,J. Bettiol,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-30464,Peyton Blythe,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-20400,H. Broseman,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-20401,Heaven Burton,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-20402,M. Cochran,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-20403,Erin Edmoudson,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-28131,Trenity Edwards,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-11975,A. Fultz,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-11976,K. Hamilton,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-11977,J. Hartwell,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-30465,Shelby Henderson,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-28132,Morgan - P Hornback,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-28133,Zoe Jones,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-17152,A. Knopp,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-20404,Kelcy Leach,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-11978,M. Maisel,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-23515,Claire Mckissick,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-11979,K. Miles,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-16299,R. O'Neal,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-28134,Miranda Padilla,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-11980,C. Powell,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-12799,K. Ramsey,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-20405,Breanna Russell,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-20406,Taylor Satchell,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-12865,Schwirtlich,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-11981,B. Scott,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-16300,K. Scott,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-13756,Strickland,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-13868,D. Thomey,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-23516,Myamie Thompson,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-11982,B. Warnecke,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-13869,Washington,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-11983,S. Weber,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-11984,S. Welborn,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-28135,Yvonne Whaley,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-11985,K. Workman,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-30558,Olga Zamarripa,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-28136,Missy Zoch,texas-tech,Texas Tech,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-22708,Jocelyn Alo,oklahoma,Oklahoma,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-6249,Kelsey Arnold,oklahoma,Oklahoma,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-12407,Fale Aviu,oklahoma,Oklahoma,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-9565,G. Casey,oklahoma,Oklahoma,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-6250,Chamberlain,oklahoma,Oklahoma,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-15589,Jayden Chestnut,oklahoma,Oklahoma,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-12408,Caleigh Clifton,oklahoma,Oklahoma,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-23522,P. Conrad,oklahoma,Oklahoma,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-15699,A. Dalton,oklahoma,Oklahoma,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-27711,Lynnsie Elam,oklahoma,Oklahoma,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
espn-6251,Whitney Ellis,oklahoma,Oklahoma,UNK,UN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-10,2026,0.0,0.0,0.0
