season,run_date,player_id,player_name,team_id,team_name,class_year,position,g,ab,r,h,2b,3b,hr,rbi,hbp,bb,so,sb,cs,ip,ha,er,k,pit_w,pit_l,pit_era,pit_app,pit_gs,pit_cg,pit_sho,pit_sv,pit_bb,pit_hbp,pit_ba,avg,ops,iso
2026,2026-04-16,oklahoma-abby-dayton,Abby Dayton,oklahoma,Oklahoma,SR,LF,43.0,87.0,43.0,39.0,11.0,1.0,6.0,35.0,3.0,21.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.4483,1.3602,0.3563
2026,2026-04-16,clemson-abby-dunning,Abby Dunning,clemson,Clemson,GR,UTIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.1,58.0,27.0,59.0,6.0,8.0,3.78,22.0,12.0,3.0,3.0,1.0,45.0,8.0,0.235,0.0,0.0,0.0
2026,2026-04-16,virginia-tech-addison-foster,Addison Foster,virginia-tech,Virginia Tech,JR,CF,42.0,132.0,39.0,56.0,13.0,2.0,6.0,37.0,2.0,17.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.4242,1.1793,0.2652
2026,2026-04-16,wofford-addison-lucier,Addison Lucier,wofford,Wofford,SO,C,35.0,74.0,24.0,32.0,8.0,4.0,1.0,15.0,8.0,24.0,9.0,5.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.4324,1.2606,0.2568
2026,2026-04-16,robert-morris-aglaia-rudd,Aglaia Rudd,robert-morris,Robert Morris,JR,C,30.0,92.0,34.0,51.0,11.0,0.0,12.0,37.0,4.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.5543,1.6552,0.5109
2026,2026-04-16,oklahoma-ailana-agbayani,Ailana Agbayani,oklahoma,Oklahoma,SR,2B,43.0,97.0,38.0,42.0,4.0,0.0,6.0,28.0,4.0,22.0,8.0,9.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.433,1.1976,0.2268
2026,2026-04-16,florida-atlantic-ainsley-lambert,Ainsley Lambert,florida-atlantic,Florida Atlantic,GR,UTIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.2,36.0,14.0,26.0,1.0,4.0,2.7,22.0,1.0,0.0,0.0,5.0,11.0,4.0,0.207,0.0,0.0,0.0
2026,2026-04-16,alabama-alexis-pupillo,Alexis Pupillo,alabama,Alabama,SR,DP,43.0,122.0,42.0,54.0,10.0,1.0,13.0,45.0,7.0,19.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.4426,1.3784,0.418
2026,2026-04-16,omaha-alexis-wiggins,Alexis Wiggins,omaha,Omaha,SR,UTIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.1,57.0,19.0,28.0,11.0,1.0,2.83,19.0,11.0,4.0,1.0,0.0,15.0,4.0,0.249,0.0,0.0,0.0
2026,2026-04-16,northern-kentucky-alicia-flores,Alicia Flores,northern-kentucky,Northern Kentucky,SR,UTIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,68.0,36.0,36.0,7.0,5.0,5.96,18.0,12.0,3.0,1.0,0.0,20.0,3.0,0.298,0.0,0.0,0.0
2026,2026-04-16,monmouth-alissa-eimont,Alissa Eimont,monmouth,Monmouth,SR,UTIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.2,120.0,47.0,91.0,8.0,10.0,3.97,20.0,19.0,10.0,1.0,0.0,34.0,11.0,0.28,0.0,0.0,0.0
2026,2026-04-16,indiana-aly-vanbrandt,Aly VanBrandt,indiana,Indiana,JR,2B,42.0,139.0,52.0,60.0,13.0,5.0,11.0,49.0,7.0,18.0,6.0,18.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.4317,1.3313,0.4029
2026,2026-04-16,northern-colorado-amailee-morales,Amailee Morales,northern-colorado,Northern Colorado,SR,1B,41.0,125.0,27.0,55.0,16.0,1.0,4.0,22.0,1.0,26.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.44,1.2164,0.24
2026,2026-04-16,duke-aminah-vega,Aminah Vega,duke,Duke,SR,2B,43.0,140.0,65.0,66.0,18.0,5.0,13.0,46.0,1.0,25.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.4714,1.5015,0.4786
2026,2026-04-16,northern-iowa-anna-wischnowski,Anna Wischnowski,northern-iowa,Northern Iowa,GR,UTIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,109.0,43.0,56.0,10.0,7.0,4.18,19.0,15.0,8.0,1.0,0.0,37.0,3.0,0.278,0.0,0.0,0.0
2026,2026-04-16,gardner-webb-annicka-mclaughlin,Annicka McLaughlin,gardner-webb,Gardner-Webb,SR,SS,41.0,124.0,36.0,52.0,0.0,0.0,0.0,5.0,0.0,11.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.4194,0.886,0.0
2026,2026-04-16,marist-ava-metzger,Ava Metzger,marist,Marist,GR,UTIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.1,62.0,23.0,53.0,7.0,3.0,2.85,15.0,12.0,5.0,2.0,0.0,33.0,2.0,0.239,0.0,0.0,0.0
2026,2026-04-16,seattle-avari-morris,Avari Morris,seattle,Seattle,JR,LF,39.0,139.0,40.0,62.0,13.0,3.0,2.0,21.0,0.0,15.0,11.0,6.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.446,1.1259,0.1799
2026,2026-04-16,miami-ohio-bailey-manos,Bailey Manos,miami-ohio,"Miami, Ohio",SR,CF,39.0,128.0,41.0,54.0,11.0,3.0,11.0,46.0,2.0,18.0,17.0,12.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.4219,1.3057,0.3906
2026,2026-04-16,central-arkansas-bailie-runner,Bailie Runner,central-arkansas,Central Arkansas,GR,UTIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,102.0,40.0,44.0,12.0,5.0,3.6,19.0,15.0,9.0,1.0,0.0,52.0,11.0,0.261,0.0,0.0,0.0
2026,2026-04-16,ohio-belle-hummel,Belle Hummel,ohio,Ohio,SR,CF,43.0,147.0,59.0,70.0,14.0,1.0,5.0,32.0,1.0,22.0,14.0,7.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.4762,1.2315,0.2109
2026,2026-04-16,georgia-state-briana-bower,Briana Bower,georgia-state,Georgia State,SR,UTIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,130.0,52.0,79.0,5.0,11.0,4.04,23.0,19.0,8.0,0.0,0.0,57.0,10.0,0.278,0.0,0.0,0.0
2026,2026-04-16,utah-valley-britney-moreno,Britney Moreno,utah-valley,Utah Valley,SR,SS,41.0,137.0,46.0,59.0,7.0,6.0,4.0,28.0,1.0,23.0,11.0,13.0,6.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.4307,1.1694,0.2263
2026,2026-04-16,charlotte-brooke-bowling,Brooke Bowling,charlotte,Charlotte,SR,UTIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,96.0,47.0,64.0,9.0,7.0,5.41,25.0,13.0,3.0,0.0,2.0,63.0,6.0,0.311,0.0,0.0,0.0
2026,2026-04-16,alabama-brooke-wells,Brooke Wells,alabama,Alabama,SO,1B,42.0,117.0,28.0,50.0,8.0,0.0,18.0,48.0,1.0,28.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.4274,1.4952,0.5299
2026,2026-04-16,unc-wilmington-cassidy-relay,Cassidy Relay,unc-wilmington,UNC Wilmington,JR,LF,39.0,115.0,30.0,56.0,1.0,0.0,0.0,10.0,0.0,24.0,14.0,28.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.487,1.0712,0.0087
2026,2026-04-16,campbell-charlie-montgomery,Charlie Montgomery,campbell,Campbell,SR,CF,42.0,142.0,34.0,60.0,3.0,1.0,0.0,27.0,0.0,11.0,7.0,9.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.4225,0.9218,0.0352
