model,formula,term,coef,std_err,p_value,ci_low,ci_high,r_squared,n_obs
1,wpc ~ obpfor + obpagn,Intercept,0.4101076009301896,0.030653468517610808,1.118913657554305e-38,0.34998012253478067,0.47023507932559855,0.8190443750732536,1526
1,wpc ~ obpfor + obpagn,obpfor,2.4194310825813945,0.05651765027938216,1.5758359801969134e-263,2.3085704211139824,2.5302917440488066,0.8190443750732536,1526
1,wpc ~ obpfor + obpagn,obpagn,-2.172558595182047,0.04683125218475781,1.247418218839423e-293,-2.2644191656212858,-2.0806980247428086,0.8190443750732536,1526
2,wpc ~ slgfor + slgagn,Intercept,0.4481742286896374,0.02072179221629799,1.1073784679751117e-90,0.4075279601251584,0.4888204972541164,0.7715909846303284,1526
2,wpc ~ slgfor + slgagn,slgfor,1.3499029653746741,0.030668056915619444,1.0277267385498148e-273,1.2897468715034803,1.410059059245868,0.7715909846303284,1526
2,wpc ~ slgfor + slgagn,slgagn,-1.231730489635327,0.031759977578718936,1.9424833859389016e-229,-1.2940284108185685,-1.1694325684520854,0.7715909846303284,1526
3,wpc ~ obpfor + obpagn + slgfor + slgagn,Intercept,0.41256481204075945,0.030438812909248145,1.3539604078273993e-39,0.35285832308098763,0.4722713010005313,0.8360229314309776,1526
3,wpc ~ obpfor + obpagn + slgfor + slgagn,obpfor,1.7032481762372411,0.1013255251660045,2.7092604244934257e-58,1.504495637243546,1.9020007152309362,0.8360229314309776,1526
3,wpc ~ obpfor + obpagn + slgfor + slgagn,obpagn,-1.4406197646422272,0.08387734419418504,1.4362335486730144e-60,-1.6051472624798158,-1.2760922668046386,0.8360229314309776,1526
3,wpc ~ obpfor + obpagn + slgfor + slgagn,slgfor,0.4559250922161997,0.05160982709470533,2.7242582481861832e-18,0.3546911321129287,0.5571590523194707,0.8360229314309776,1526
3,wpc ~ obpfor + obpagn + slgfor + slgagn,slgagn,-0.47425212092123537,0.05003984928203855,9.602257250169407e-21,-0.5724065304776913,-0.37609771136477943,0.8360229314309776,1526
4,wpc ~ I(obpfor - obpagn) + I(slgfor - slgagn),Intercept,0.4971463059026657,0.001996725389945262,0.0,0.4932296834598735,0.5010629283454578,0.835154771570314,1526
4,wpc ~ I(obpfor - obpagn) + I(slgfor - slgagn),I(obpfor - obpagn),1.5518572208866104,0.06363517020469397,3.659251511245833e-111,1.4270353815742762,1.6766790601989445,0.835154771570314,1526
4,wpc ~ I(obpfor - obpagn) + I(slgfor - slgagn),I(slgfor - slgagn),0.46658224374847873,0.03716416320821113,1.7903181102652984e-34,0.393683889061427,0.5394805984355304,0.835154771570314,1526
